,dialogue_id,text,turn_id,type,label
0,3073_1,"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.",0,HS,0
1,3073_1,"We are always developing as time goes on and same sex relationships are a part of the world now, why would we not educate our children on different ways of life?",1,CN,1
2,3076_1,Since when has abusing the anus as a sex organ been a ‘monumental achievement’? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to ‘In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),0,HS,0
3,3076_1,To recognise and accept practices that we don't take part in isn't state inforcement. It's just stating facts and stopping persecution of people who have different preferences.,1,CN,1
4,3079_1,"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.",0,HS,0
5,3079_1,"This is about teaching children about the world they live in, and helping them get on with others.",1,CN,1
6,3094_1,"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.",0,HS,0
7,3094_1,"Teaching children that there are different ways to be happy, and that their feelings are valid is something I totally agree with.",1,CN,1
8,3098_1,"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.",0,HS,0
9,3098_1,"Same sex relationship happen within many species of animals and we are no exception. Might as well inform people about things that happen in nature - that's the point of education, to learn about the world.",1,CN,1
10,3100_1,Since when has abusing the anus as a sex organ been a ‘monumental achievement’? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to ‘In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),0,HS,0
11,3100_1,Respect for people who are different from us and not harming anyone with their private activities is a monumental achievement in any country with a history of oppression.,1,CN,1
12,3108_1,I tolerated fag pride. I tolerated fags on tv and in every town square. I draw the line at tranny demons reading books to children. (about drag queen story time),0,HS,0
13,3108_1,"People reading stories to children, teaching them about the world?",1,CN,1
14,3110_1,I tolerated fag pride. I tolerated fags on tv and in every town square. I draw the line at tranny demons reading books to children. (about drag queen story time),0,HS,0
15,3110_1,"Not sure how reading a book is a problem, sounds pretty nice for the kids.",1,CN,1
16,3112_1,Since when has abusing the anus as a sex organ been a ‘monumental achievement’? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to ‘In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),0,HS,0
17,3112_1,No-one is forcing anyone into practices they don't want to take part in here.,1,CN,1
18,3130_1,Must be hard being gay. They have to do everything we do but also find the time to molest children.,0,HS,0
19,3130_1,Child molestors can have any sexual orientations and the majority of straight or gay people are not child molestors. This is an issue that can affect anyone regardless of sexual orientation.,1,CN,1
20,3132_1,I tolerated fag pride. I tolerated fags on tv and in every town square. I draw the line at tranny demons reading books to children. (about drag queen story time),0,HS,0
21,3132_1,"I can't say I've ever come across 'fag pride'. Gay pride or LGBT+ pride, perhaps?",1,CN,1
22,3148_1,Must be hard being gay. They have to do everything we do but also find the time to molest children.,0,HS,0
23,3148_1,"Child molesters are not all gay, just as men are not all rapists.",1,CN,1
24,3174_1,"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.",0,HS,0
25,3174_1,We are always evolving as a society as time goes. Same sex relationships are a part of our world now. Why should we hide different ways of life from our children?,1,CN,1
26,3175_1,Since when has abusing the anus as a sex organ been a ‘monumental achievement’? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to ‘In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),0,HS,0
27,3175_1,To recognise and accept others isn't state enforcement. It's just stating that we should stop the persecusion of people who have different private lifes.,1,CN,1
28,3188_1,"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.",0,HS,0
29,3188_1,"If this 'indoctrination' is about teaching children that there many ways to be happy, and that their feelings count, then this is something I totally agree with.",1,CN,1
30,3191_1,"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.",0,HS,0
31,3191_1,"If the point of education is to learn about the world and inform people about things that happen in nature, then same sex relationship is one of these things to be informed about, since it happens within many species of animals...",1,CN,1
32,3192_1,Since when has abusing the anus as a sex organ been a ‘monumental achievement’? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to ‘In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),0,HS,0
33,3192_1,Respecting people with different habits that do not harm anyone is a monumental achievement indeed!,1,CN,1
34,3198_1,I tolerated fag pride. I tolerated fags on tv and in every town square. I draw the line at tranny demons reading books to children. (about drag queen story time),0,HS,0
35,3198_1,"People reading stories to children, is this what makes you upset? Really?",1,CN,1
36,3232_1,I hate gays,0,HS,0
37,3232_1,Just because you dont like gays doesn't mean you have to hate them. What did they do to you? It seems to me that you still have all of your rights.,1,CN,1
38,3234_1,Also God hates gays,0,HS,0
39,3234_1,If God hates gays why did he create them? Because he is a sadist and want to punish them? What kind of god would do such a thing?,1,CN,1
40,3474_1,We should eliminate gays.,0,HS,0
41,3474_1,Do you really want to kill other human beings? Based on what exactly? On private sexual preferences?,1,CN,1
42,3475_1,We should eliminate gays.,0,HS,0
43,3475_1,Do you really want to kill someone?,1,CN,1
44,3476_1,We should eliminate gays.,0,HS,0
45,3476_1,Noone can declare criterions to decide who will live or who will die.,1,CN,1
46,3477_1,Two men do not constitute a family,0,HS,0
47,3477_1,"A man and a woman do not automatically constitute a family either, so what?",1,CN,1
48,3478_1,Two men do not constitute a family,0,HS,0
49,3478_1,Shouldn't the important thing be the happiness of the child? Personally I would be happier to have two people who love me unconditionally rather than having only one or none at all.,1,CN,1
50,3479_1,Two men do not constitute a family,0,HS,0
51,3479_1,"Two men (or two women) can give love and ensure the child has a peaceful environment, and this is the most important thing.",1,CN,1
52,3482_1,"Fagshit, two men cannot replace a man and a woman",0,HS,0
53,3482_1,"Love is love, children need only this.",1,CN,1
54,3483_1,"Fagshit, two men cannot replace a father and a mother",0,HS,0
55,3483_1,A family is based on love not on gender.,1,CN,1
56,3484_1,"Fagshit, two men cannot replace a father and a mother",0,HS,0
57,3484_1,Fathers or mothers are often not able to raise their children. It is the love of a parent that makes a family.,1,CN,1
58,3485_1,"Fagshit, two men cannot replace a father and a mother",0,HS,0
59,3485_1,"There are fathers and mothers who abandon their children. Why should you bother about those who left you alone? It's much better to have the love of two adoptive parents, people who love you regardless of their gender.",1,CN,1
60,3486_1,"Fagshit, two men cannot replace a father and a mother",0,HS,0
61,3486_1,Imagine a child alone in an orphanage. Don't you think he would rather be loved by two people of the same sex than having no parents at all?,1,CN,1
62,3491_1,Children are not for rent,0,HS,0
63,3491_1,Surrogate pregnancy is an assisted procreation technique that has nothing to do with 'renting children',1,CN,1
64,3492_1,Children cannot be bought.,0,HS,0
65,3492_1,"Imagine a person who cannot have children because of an illness, would you really want to deprive her of the joy of having one via surrogate pregnancy?",1,CN,1
66,3513_1,Why gays do not try to heal?,0,HS,0
67,3513_1,Homosexuality is not a disease. It is a sexual orientation. 5% of the population simply love people of the same sex.,1,CN,1
68,3514_1,Why gays do not try to heal?,0,HS,0
69,3514_1,Are you really saying that homosexuality is a disease?,1,CN,1
70,3515_1,Why don't gay people seek a cure?,0,HS,0
71,3515_1,"Have you ever talked to a homosexual person? It could help you understand many things, including that sexual orientation is fundamental to a person's identity, not a matter of whim or ill health.",1,CN,1
72,3578_1,Gays are just sick. It is an abomination,0,HS,0
73,3578_1,Do you consider it a disease like cold or flu?,1,CN,1
74,3579_1,Gays are just sick. It is an abomination,0,HS,0
75,3579_1,"They are not sick people, there is nothing wrong with loving someone.",1,CN,1
76,3580_1,Gays are just sick. It is an abomination,0,HS,0
77,3580_1,There is no evidence that homosexuality is a disease. There are also many distinguished figures who are expressly gay: they don't seem so abominable.,1,CN,1
78,3581_1,Gays are just sick. It is an abomination,0,HS,0
79,3581_1,Homosexuality is not a disease. The World Health Organization has eliminated it from the list of diseases many years ago.,1,CN,1
80,3582_1,Gays are just sick. They cannot marry. It is an abomination,0,HS,0
81,3582_1,"Excuse me, what do you mean by 'sick'?",1,CN,1
82,3583_1,Gays are just sick. They cannot marry. It is an abomination,0,HS,0
83,3583_1,Recognizing the rights of others does not mean renouncing or denying one's own.,1,CN,1
84,3584_1,Gays are just sick. They cannot marry. It is an abomination,0,HS,0
85,3584_1,How come two people in love getting married affects your life? What should concerns you the most is respecting all people regardless of their differences.,1,CN,1
86,3585_1,Gays are just sick. They cannot marry. It is an abomination,0,HS,0
87,3585_1,Sick according to whom? Facts seem to contradict you: [link],1,CN,1
88,3586_1,Gays are just sick. They cannot marry. It is an abomination,0,HS,0
89,3586_1,"Two women or two men who love each other do not hurt anyone, they are simply in love.",1,CN,1
90,3605_1,We should isolate gays because they are spreading AIDS all around the world.,0,HS,0
91,3605_1,"If you want to isolate someone then there is only one ""high-risk group"" to focus on. It is made of all those who have frequent unprotected sex with different partners. Being gay does not make you a part of this by default.",1,CN,1
92,3606_1,We cannot allow gay people to donate blood. They could spread their mental illness and make other people gay via blood donation.,0,HS,0
93,3606_1,"Being gay doesn't affect blood receivers! It's not like being gay is in your blood. Gay people are the same as regular people and if they really wanted to donate, then they should because it can help society.",1,CN,1
94,3607_1,homosexuality is a mental illness that can be cured [link],0,HS,0
95,3607_1,"The source is not reliable at all, as the webpage promote ""reorientation therapies"" whose effects hasn't been scientifically proven. The owners are likely to profit from misinformation and bad stereotypes about homosexuality.",1,CN,1
96,3608_1,"Gays are spreading AIDS all around the world because they are promiscuous and fornicate with strangers, we should prevent them to make blood donations.",0,HS,0
97,3608_1,"We can simply disallow donations from those who had unprotected sex or a high number of partners, instead of making sexual orientation the basis as in your claim.",1,CN,1
98,3609_1,"Gays are spreading AIDS all around the world because they are promiscuous and fornicate with strangers, and they lie when they want to donate blood.",0,HS,0
99,3609_1,"There is little to no reason for them to do so; if they wish to donate blood, evidently they have a degree of care about others. Lying would contradict the very reasons they might want to donate.Homophobic statements rarely make much sense.",1,CN,1
100,3610_1,"Gays are perverts, they are promiscuous and fornicate with strangers.",0,HS,0
101,3610_1,Women are much more likely to have unprotected sex than homosexual and heterosexual men combined. [https://ifstudies.org/blog/promiscuous-america-smart-secular-and-somewhat-less-happy],1,CN,1
102,3611_1,Gays are perverts and must be isolated from society because they are practicing anal sex and spreding diseases such as HIV.,0,HS,0
103,3611_1,"While anal sex may be a more high risk practice than vaginal \(due to the lack of mucus\) that is not a reason to ban gay men, since other groups can also engage in anal sex.",1,CN,1
104,3612_1,Gays are perverts and must be isolated from society because they are practicing anal sex and spreading diseases such as HIV.,0,HS,0
105,3612_1,"Did you know that research shows that about 10% of heterosexual women/men have had anal sex in the past year, with 25% having tried it at least once? [https://kinseyconfidential.org/common-anal-sex-heterosexual-couples/] Do you want to isolate them as well?",1,CN,1
106,3613_1,Gays are perverts and must be cured because they are practicing anal sex all the time.,0,HS,0
107,3613_1,Is this true for anal sex between men and women too then?,1,CN,1
108,3614_1,Gays are dangerous: they are spreading AIDS all around the world because they are promiscuous and fornicate with strangers!,0,HS,0
109,3614_1,"Associating AIDS and HIV with homosexuals is just a prejudice driven by fear. Even if this disease may be more common among gay people, that does not mean that all homosexuals are likely to have AIDS. Not all homosexuals are promiscuously fornicating with strangers, as you said. Most people check their partners, more so as gay men.",1,CN,1
110,3615_1,Gays are dangerous: they are spreading AIDS all around the world because they are promiscuous and fornicate with strangers!,0,HS,0
111,3615_1,"Only questionnaires and history of sexual contact should identify a donor as safe or unsafe, not their sexual preferences.",1,CN,1
112,3616_1,Faggots are perverts and want to indoctrinate our children. Let's ban them from schools!,0,HS,0
113,3616_1,"A ban for gay men merely propagates homophobic stereotypes, and so are you with what you are suggesting.",1,CN,1
114,3617_1,Faggots abuse of their anus and then they want to clear their conscience by donating blood. Let's stop them!,0,HS,0
115,3617_1,I do not understand from your argument why gay men should not be allowed to donate blood.,1,CN,1
116,3618_1,Faggots abuse of their anus and then they want to clear their conscience by donating blood. Let's stop them!,0,HS,0
117,3618_1,"Limiting any healthy individual from donating is discriminatory, you should know that.",1,CN,1
118,3619_1,Faggots abuse of their anus and then they want to clear their conscience by donating blood. Let's stop them!,0,HS,0
119,3619_1,"Still, other groups (such as gay women) have not been banned from donating, so why should they be?",1,CN,1
120,3620_1,Allowing gays to donate blood compromises patient safety because they are having unprotected anal sex all the time.,0,HS,0
121,3620_1,"Did you know that women also engage in unprotected 'anal sex'? Additionally, approximately 2% of heterosexual men have admittedly had a same sex partner, and 39% of homosexual men have had sex with a partner of the opposite sex. Therefore, it cannot be ignored that heterosexual are correlatively high risk.",1,CN,1
122,3621_1,Allowing gays to donate blood compromises patient safety because of their sexual behavior.,0,HS,0
123,3621_1,Many countries use a deferral window of 1 year to makes it safe for men who have sex with men to donate blood.,1,CN,1
124,3622_1,Allowing gays to donate blood compromises patient safety because of their sexual behavior that spreads diseases such as HIV. At least we should test them!,0,HS,0
125,3622_1,"To be honest, the potential for malice in humans is reason enough to test everyone's blood.",1,CN,1
126,3623_1,Allowing gays to donate blood compromises patient safety because of their sexual behavior that spreads diseases such as HIV.,0,HS,0
127,3623_1,"Did you know that out of people receiving HIV care (for example in the UK), 48% were exposed through sex between a man and a woman, and 47% were exposed through sex between men? The fact is that heterosexual HIV transmissions outweigh those between homosexuals, and yet heterosexual people are not banned from donating blood. [link]",1,CN,1
128,3624_1,Allowing gays to donate blood compromises patient safety because of their sexual behavior that spreads diseases such as HIV.,0,HS,0
129,3624_1,"If we're to use that logic, then no individuals age 20 to 29 should be allowed to donate, since this is the largest risk group for HIV, Hepatitis A, and Hepatitis C, at least according to the CDC.[https://www.cdc.gov/hiv/default.html]",1,CN,1
130,3625_1,Allowing gays to donate blood compromises patient safety because of their sexual behavior that spreads diseases such as HIV.,0,HS,0
131,3625_1,Limiting donors to such an extent (i.e. by excluding all gay people) would limit the amount of available blood and potentially lead to shortages.,1,CN,1
132,3626_1,Allowing gays to donate blood compromises patient safety because of their sexual behavior that spreads diseases such as HIV.,0,HS,0
133,3626_1,"If Stem cell donations are allowed by MSMs, then so should blood.",1,CN,1
134,3627_1,Allowing gays to donate blood compromises patient safety because of their sexual behavior that spreads diseases such as HIV.,0,HS,0
135,3627_1,"Many countries allow gay men to donate with no deferral. This proves it is safe, unless they are all crazy of course.[https://en.wikipedia.org/wiki/Men_who_have_sex_with_men_blood_donor_controversy#List_of_countries_with_their_stand_on_MSM_blood_donors]",1,CN,1
136,3628_1,Allowing gays to donate blood compromises patient safety because of their sexual behavior that spreads diseases such as HIV.,0,HS,0
137,3628_1,"All blood is tested for pathogens and viruses, without regard to donor background or similar. I really do not understand your concern: ""Each unit of blood donated in the U.S. is routinely screened for various infectious disease pathogens, including five transfusion–transmitted viruses, using nine laboratory tests."" - [link]",1,CN,1
138,3629_1,Gays should never be allowed to donate blood: they are spreading AIDS all around the world because they are promiscuous and fornicate with strangers!,0,HS,0
139,3629_1,"Before donating, patients should fill-in a questionnaire where they are asked about their sexuality. If this is considered pertinent information and the patient is taken at their word about being homosexual, then equally the patient can be trusted about the declared sexual history, making sexuality irrelevant.",1,CN,1
140,3630_1,Gays are dangerous: they are spreading AIDS all around the world because they are promiscuous and fornicate with strangers!,0,HS,0
141,3630_1,"Age, Race, and Gender are categories that take precedence over Homosexuality. This is since such categories include both homosexual & heterosexual individuals; and are therefore higher risk categories than Homosexuality alone...",1,CN,1
142,3631_1,"Even if some countries are allowing faggots to donate blood, this does not mean that they are not dangerous and at risk of spreading diseases.",0,HS,0
143,3631_1,"Any decision embarked on by a country would likely have been considered in light of evidence. As such, if no evidence was found by those countries of the harm of a policy, it can be fairly confidently asserted that we can adopt this policy in favour of homosexual's blood donation.",1,CN,1
144,3632_1,Allowing gays to donate blood compromises patient safety because of their sexual behavior. We should stop them.,0,HS,0
145,3632_1,"You know what? We can also grade blood packs based on their ""risk"". This allows the optional use of high-risk blood in case of a shortage.",1,CN,1
146,3633_1,Allowing gays to donate blood compromises patient safety because of the diseases they can transmit.,0,HS,0
147,3633_1,"Improvements in testing and other safeguards have reduced the risk from transfusion transmitted HIV, so ruling out donors only because of their sexual orientation is completely meaningless.",1,CN,1
148,3634_1,Allowing gays to donate blood compromises patient safety because of the diseases they can transmit.,0,HS,0
149,3634_1,Blood is always needed. It is simply illogical to bar donations to a commodity in short supply. It is better to improve control in case.,1,CN,1
150,3635_1,Allowing gays to donate blood compromises patient safety and testing all gay donors would be too expensive.,0,HS,0
151,3635_1,"We already test blood from all groups, not only homosexual ones. There is no added expense than just using low risk groups.",1,CN,1
152,3732_1,LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school.,0,HS,0
153,3732_1,"This depends on whether you consider gender identity and sexual orientation to be factual or not; it isn't simply an 'idea' or 'belief', but a fact of life.",1,CN,1
154,3733_1,LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school.,0,HS,0
155,3733_1,Disagreement with facts does not necessitate their removal from curricula.,1,CN,1
156,3734_1,"Children should not be taught about LGBT perversion. Families, due to their cultural or religious backgrounds, have the right to be against it.",0,HS,0
157,3734_1,Some parents may be racist and be against teaching about slavery. That doesn't mean that subjects such as this shouldn't be truthfully covered.,1,CN,1
158,3735_1,"Children should not be taught about LGBT perversion. Families, due to their cultural or religious backgrounds, have the right to be against it.",0,HS,0
159,3735_1,"By this reasoning, no subject of importance should be taught in school, because there is always someone against a certain topic.",1,CN,1
160,3736_1,We should refrain from imposing gender ideology on children.,0,HS,0
161,3736_1,An objective way of teaching gender to children is very important for the society and it is not imposing. We can present scientific and peer-reviewed sources and discuss stories of how people experience gender in terms of their personal identity.,1,CN,1
162,3737_1,There are teachers with personal or political LGBT biases and they will end up causing more harm than good.,0,HS,0
163,3737_1,"Slippery Slope Fallacy. The solution is not to avoid trying, even though there could be negative effects. If it was mandated that children should be taught about gender identity / sexual orientation, but there were teachers which allowed personal bias to interfere with that, then the issue becomes how to prevent those teachers from doing so. This does not mean it's a 'bad idea' to pass such a mandate.",1,CN,1
164,3738_1,LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school. This is a too polarized debate.,0,HS,0
165,3738_1,"Many points in history are also subjects of polarized debate, but they still can be, and are, taught objectively.",1,CN,1
166,3739_1,"LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school, they'll end up being bullied.",0,HS,0
167,3739_1,Learning about gender identity and sexual orientation in health classes in school could promote a more accepting environment and reduce bullying.,1,CN,1
168,3740_1,"LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school, they'll end up being bullied.",0,HS,0
169,3740_1,"Unbiased and factual lectures can clear up any misconceptions that can create an aversion against the LGBTQ+ community in some students' minds. They could have a weekly/monthly assembly or something like that and daily reminders that anonymous reports of bullying are an option\(can help school keep track of any effects the lectures have on students and overall acceptance\). Schools are required to end and prevent bullying when they can, and this is an opportunity to do so.",1,CN,1
170,3741_1,"LGBTs just want to brainwash our children. There should be no teaching about gender identity and sexual orientation in school, and it will only lead to bullying.",0,HS,0
171,3741_1,"On the contrary, discrimination against the LGBTQ community is [still a major problem](https://www.hrc.org/youth-report/view-and-share-statistics), and this could help to fix it.",1,CN,1
172,3742_1,"LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school, they'll end up being bullied.",0,HS,0
173,3742_1,Children in classes that included LGBT content reported less harassment than children in classes without it. (https://tcf.org/content/commentary/can-education-reduce-prejudice-lgbt-people/?agreed=1),1,CN,1
174,3743_1,LGBTs just want to brainwash our children. Kids should not be taught about gender identity and sexual orientation in school.,0,HS,0
175,3743_1,"In the case of young children, having awareness and understanding of sexual orientation may help those with severe identity issues, body dysphoria, or self-esteem problems.",1,CN,1
176,3744_1,LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school.,0,HS,0
177,3744_1,"Developing a curriculum for this also means that teachers get to learn things that they might not otherwise have considered, which can make them more effective and compassionate as educators.",1,CN,1
178,3745_1,LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school.,0,HS,0
179,3745_1,Understanding gender diversity would break down stereotypes and reduce sexism.,1,CN,1
180,3746_1,LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school.,0,HS,0
181,3746_1,Having this information better equips individuals to deal with issues concerning gender and be aware of their own intent and opinions that are rooted in gender and gender bias.,1,CN,1
182,3747_1,Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalist.,0,HS,0
183,3747_1,"Not all families are capable of educating their children on this topic, either because of circumstances (poverty, broken home, etc.) or because of religious beliefs.",1,CN,1
184,3748_1,Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalist.,0,HS,0
185,3748_1,"Families may not have good knowledge of gender identity and sexual orientation, particularly if they come from a cultural background that condemns such expression.",1,CN,1
186,3749_1,Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalist.,0,HS,0
187,3749_1,"Some children might not have a beneficial, welcoming and nurturing family life.",1,CN,1
188,3750_1,Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalists.,0,HS,0
189,3750_1,"What if parents choose not to educate or discuss LGBT issues with their children? Where will they learn? From their peers? I agree that there are some sensitive subjects that are best addressed by parents, but this is human behavior and biology; aka science.",1,CN,1
190,3751_1,Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalist.,0,HS,0
191,3751_1,"Some families are very conservative and openly homophobic. Most likely, they wouldn't discuss the topic. Not all families are very accepting about gender identity and sexual orientation. If it was taught in school, it would help children understand more about themselves.",1,CN,1
192,3961_1,Do you like gays? Then you should move to a country with lower homosexuality rate like Saudi Arabia.,0,HS,0
193,3961_1,"Let's face it, a country with a higher ratio of homosexuality would be of greater help in the fight against AIDS.",1,CN,1
194,3962_1,Let's move gays to places with lower homosexuality rate like Saudi Arabia.,0,HS,0
195,3962_1,I'm sure you have concerns for gay people and their families. But don't you want to help your country and promote the values of an inclusive society as well?,1,CN,1
196,3963_1,Our laws have been hijacked by the transgender mafia to criminalize normality and silence us.,0,HS,0
197,3963_1,"It is nonsense to talk about ""transgender"" laws. Our laws have been hijacked in many cases, including against LGBT people.",1,CN,1
198,3964_1,The whole idea of marriage is to bond a man and a woman and raise children.,0,HS,0
199,3964_1,"Marriage is about love not sex. Not all marriages work out, and even less work out happily. It is more important to respect the wishes of both parties.",1,CN,1
200,3965_1,I wish I live in a country that does not tolerate gay people.,0,HS,0
201,3965_1,"All countries must abide by the Universal Declaration of Human Rights, right?",1,CN,1
202,3966_1,I wish I live in a country that does not tolerate gay marriage.,0,HS,0
203,3966_1,"Marriage should be a choice for all, irrespective of the gender of partners..",1,CN,1
204,3967_1,LGBT people are a problem in our country because they have the temerity to seek happiness and family regardless of our values.,0,HS,0
205,3967_1,"Trying to find happiness and family is a problem in our country? Okay, then, what is the problem exaclty? People trying to be happy?",1,CN,1
206,3968_1,"Children should be raised by heterosexual parents, not gays. It is the best system ever.",0,HS,0
207,3968_1,What about abusive heterosexual parents?,1,CN,1
208,3969_1,"According to the Bible, then gays are an abomination to God.",0,HS,0
209,3969_1,The Bible clearly teaches that everyone is born equal in dignity with the Lord.,1,CN,1
210,3970_1,Faggots are poisoning our children minds with their filthy depravity.,0,HS,0
211,3970_1,It is not true that homosexuals are poisoning our children minds. There are many soft-hearted and sensitive people among them.,1,CN,1
212,3971_1,Gays are poisoning our children with their icky homosexuality.,0,HS,0
213,3971_1,What do you mean by 'poisononing our children'? Why do you think this is the case?,1,CN,1
214,3972_1,I wish I live in a country that does not tolerate gay people.,0,HS,0
215,3972_1,"I like all kinds of people. Whether or not you identify as heterosexual, straight, gay, lesbian, bisexual or transgender, you are welcome here. We are all entitled to live and work in peace.",1,CN,1
216,3973_1,"If LGBT were to have a normal appearance, this would help to build a more accepting society.",0,HS,0
217,3973_1,You're not a champion of the right to freedom of expression then?,1,CN,1
218,3974_1,"If LGBT were to have a normal behavior, society would accept them more easily.",0,HS,0
219,3974_1,How about using cultural diversity as the criteria?  Your standards seem very high for what you expect to be culturally acceptable standards of behavior.  Maybe it is better to use a less stringet criteria of acceptability.,1,CN,1
220,3975_1,Faggots are poisoning our children minds with their filthy depravity.,0,HS,0
221,3975_1,Isn't this just equating homosexuality and pedophilia? How can this be allowed? This is about intolerance and prejudice spreading it's negative influence throughout all parts of our society.,1,CN,1
